player_name,batting_average,strike_rate
EC Joyce (ENG/IRE),33.75,93.96
R Chopra (UAE),40.4,123.92
BJ Haddin (AUS),17.47,114.52
RT Ponting (AUS),28.64,132.78
HH Gibbs (SA),18.18,125.78
Aqib Iqbal (Aut),19.8,113.14
GE Ngegba (SLE),18,97.29
MTMMJ Ave (COK),56.42,118.61
A McAuley (IOM),18.8,91.22
Mohammad Ahnaff (QAT),26.33,113.18
Shan Masood (PAK),30.38,121.91
R Tari (VAN),15.19,106.75
Hussain Talat (PAK),24.62,118.31
DK Mathias (BHR),32.83,107.94
V Sehwag (IND),21.88,145.38
Tenjin Rabgey (BHU),15.15,80.24
Abdul Razzaq (PAK),20.68,116.61
Habib Khan (EST),26.13,120.98
Omar Rassol (BUL),20.63,125.23
Shiraz Khan (KUW),19.6,98.74
RM Dorji (BHU),15.64,94.9
R Rohan (SGP),13.96,97.99
Saad Bin Zafar (CAN),26,122.25
Mosaddek Hossain (BAN),18.52,114.07
Rizwan Cheema (CAN),17.68,123.88
S Jora (NEP),19.4,118.29
Sheraz Sheikh (Belg),18.33,105.76
A Shreshta (NGA),20.26,97.96
M Shumba (ZIM),20.26,108.14
WG Jacks (ENG),18.23,136.78
AA Onikoyi (NGA),15.95,88.45
Sahil Chauhan (EST),54.57,206.48
PHKD Mendis (SL),19.05,122.5
T Sandeep (SWZ),23.81,105.54
WAE Burton (SRB),16.52,139.7
Tamoor Sajjad (QAT),34.54,135.71
R Mutumbami (ZIM),17.22,117.33
NMS Param (SGP),27,117.02
RA Sealy (CAY),21,140
L Canessane (Fran),17.95,121.22
Mashrafe Mortaza (BAN),13.46,136.1
US Hathinjar (CAM),13.92,109.3
AK Mohan (FIN),15,88.65
AM Rahane (IND),20.83,113.29
Jaker Ali (BAN),28.76,122.22
RR Sharan (CAM),18.7,90.99
Aman Desai (SGP),14.8,120.52
Nasir Hossain (BAN),18.5,113.49
A Turay (SLE),17.61,102.49
S Pradhan (BHU),14.19,88.7
DJ Hooda (IND),30.66,147.2
Sahir Naqash (GER),23,132.85
BBJL Perera (ITA),28.23,111.89
PS Athavale (OMA),22.75,126.38
Awais Ahmed (ESP),21.41,117.41
PJ Moor (ZIM),24.26,127.27
WIA Fernando (SL),11,94.04
Nasir Jamshed (PAK),21.35,113.43
DA Blignaut (GER),18.1,92.11
Mahedi Hasan (BAN),12.92,101.68
Hamza Khan (RWN),17.23,99.17
D Suzuki (JPN),18.1,110.03
Shoaib Khan (OMA),18.05,105.86
G Stewart (ITA),27.69,162.89
K Doriga (PNG),12.82,97.02
L Ronchi (AUS/ICC/NZ),17.95,140.23
D Heyliger (CAN),29.83,168.07
Shahil Momin (Aut),21.05,99.72
Bilal Masud (EST),44.5,130.88
SM Curran (ENG),14.24,124.47
BN Toube (CAM),17.8,98.07
Haroon Arshad (HKG),20.88,129.09
MC Henriques (AUS),20.88,124.56
Mehidy Hasan Miraz (BAN),17.7,116.06
Surya Anand (DEN),25.28,106.3
E Beukes (CAM),20.58,129.15
Amjad Sher (FIN),11.96,133.46
V Mbazo (BOT),10.51,88.29
AJ Mosca (ITA),38.55,118.43
OA Shah (ENG),24.78,122.18
Sher Sahak (NOR),21.62,145.37
Tanzid Hasan (BAN),21.56,114.23
SO Tikolo (KENYA),28.75,122.77
D Ajekun (NGA),12.74,74.94
Khushdil Shah (PAK),19.11,109.2
Mehran Khan (OMA),10.42,106.5
WA Young (NZ),18.1,101.77
S Chanderpaul (WI),20.17,98.84
H Hiri (PNG),19.05,111
BR McDermott (AUS),18,99.7
S Kaveri (Mex),18.94,75.11
Arjun Vinod (SUI),21.31,111.43
Walid Ghauri (NOR),28.41,107.57
Ahmed Hassan (MDV),17.78,91.35
DG Blampied (JER),18.77,100
H Gori (CZK-R),30.63,132.15
HA Jackson (Fran),16.04,91.32
A Symonds (AUS),48.14,169.34
Ehsan Khan (HKG),13.44,102.12
Vikramjit Singh (NED),15.27,117.07
C Tommy (VAN),15.9,95.97
Usman Khalid (KSA),19.64,112.08
LN Oluoch (KENYA),14.47,118.5
Amir Zaib (PORT),19.52,131.22
KC Ramamoorthy (INA),15.8,106.41
Amoluk Singh (GHA),27.66,118.57
SR Mukkamalla (USA),36.77,137.91
Faisal Javed (QAT),22,155.66
Sompal Kami (NEP),10.61,111.9
SR Thompson (IRE),14.9,129.13
KD Abeyrathna (NOR),21.8,92.37
T Banton (ENG),23.35,147.96
RJ Nicol (NZ),17.21,110.47
BDH Stevens (JER),17.21,97.61
OE Olaleye (NGA),18.05,101.56
S Thanikaithasan (DEN),16.25,115.24
S Vesawkar (NEP),23.21,99.08
Z Bimenyimana (RWN),8.3,128.57
Hamza Tariq (CAN),29.45,161.19
D Muhumuza (UGA),23.14,105.53
Shahid Wasif (HKG),20.25,105.53
OGL Bascome (BER),14.68,111.76
LE Bosman (SA),24.84,147.48
R Lutaaya (UGA),17.94,126.66
Rafiullah (OMA),14.68,173.65
CP Rizwan (UAE),24.84,109.49
Ali Naseer (UAE),16.05,126.87
C Munoz-Mills (ESP),26.66,132.23
C Brennan (JER),21.26,128.11
Muhamad Syahadat (MAS),24.46,109.65
Shamim Hossain (BAN),22.71,125.69
Bakhtiar Tahiri (BUL),31.7,116.97
Zaheer Ibrahim (QAT),18.64,113.21
BM Duckett (ENG),31.5,145.16
J Singye (BHU),16.57,72.91
Abhijeet Ahuja (HUN),18.47,95.73
NJ Ferraby (JER),18.47,110.56
AM Kimote (TAN),14.95,108.27
Mohamed Azzam (MDV),9.23,75.48
Osama Mahmood (SUI),26.16,114.59
PA Raikes (GIBR),24.15,106.44
Pargat Singh (CAN),18.35,103.65
CF Tlali (LES),14.85,89.39
Faheem Ashraf (PAK),12.44,129.04
Khizer Ahmed (NOR),23.92,114.33
Muhammad Kashif (KUW),22.21,105.78
CR Brathwaite (WI),14.76,113.13
S Samarawickrama (SL),19.37,109.92
JA Fitzgerald (GIBR),19.31,131.48
A Kheterpal (HUN),28.09,119.76
R Ravindra (NZ),17.16,127.68
Aqeel Wahid (MAS),38.5,133.33
ML Hayden (AUS),51.33,143.92
LB Ferbrache (GUE),16.15,90.56
GP Meade (ITA),17.05,102.33
Waqas Barkat (HKG),13.95,92.19
A Natubhai Ahir (PAN),12.7,90.77
J Coetzee (THA),25.33,115.58
TS Kamunhukamwe (ZIM),20.26,105.55
DJ Hawoe (INA),9.46,123.67
AS Samra (PHI),23.3,119.76
TG Southee (NZ),11.22,138.99
Fiaz Ahmed (BHR),18.87,108.24
S Veerapathiran (BHR),13.13,123.77
XM Marshall (USA/WI),17.64,103.44
A Sharma (UAE),27.27,107.14
Zahir Mohammed (HUN),17.64,150.75
NL McCullum (NZ),11.5,100.67
R Panchal (ESP),27.18,90.33
W Miyauchi (JPN),18.62,101.36
A Shirai-Patmore (JPN),15.68,92.54
RR Sarwan (WI),22.92,104.19
A Limdawala (MWI),18.56,85.83
Arslan Amjad (EST),17.41,105.33
M Podosky (PHI),14.8,109.62
Simi Singh (IRE),10.2,108.42
Khalid Kail (OMA),21,110.52
H Patel (CAN),21,103.15
Hassan Rasheed (MDV),11.72,82.53
MW Short (AUS),22.53,163.68
C Karunaratne (SL),16.16,106.2
CA Lynn (AUS),19.4,131.67
HDRL Thirimanne (SL),16.16,108.98
Yusuf Ebrahim (PAN),14.55,91.5
I Kaia (ZIM),15.26,104.69
Aaftab Alam Khan (MLT),15.21,122.97
AN Kervezee (NED),32.11,110.3
F Banunaek (INA),13.71,81.81
J Broad (GER),41.14,119.5
Ameer Saiyed (BOT),19.13,100.7
P Silas (BOT),13.66,103.61
A Venkatesh (SWE),20.5,105.51
M Chadha (CAM),35.75,113.49
Irfan Hafejee (PAN),17.87,74.67
SKDT Madusanka (SEY),23.83,88.81
A Bagai (CAN),40.57,114.05
B Fitchet (GUE),20.28,140.59
P Kurup (BHR),18.93,108.81
BJ McCarthy (IRE),12.9,116.87
J Mosca (ITA),21.84,147.91
NN Odhiambo (KENYA),10.92,104.41
S Gooch (EST),40.28,117.5
N Knights (IOM),16.58,143.14
Abdul-Shakoor Rahimzei (GER),15.61,104.85
Abhishek Ahuja (HUN),17.56,105.24
CPPM Sadun (CYP),21.61,99.64
ARA Chambers (PORT),17.56,92.43
Mohammad Shahzad (UAE),15.61,117.57
SA Engelbrecht (NED),31.11,132.7
Aminuddin Ramly (MAS),16.47,148.14
Sayed Monib (KUW),14.73,175
AC Agar (AUS),11.62,100.35
TC Bruce (NZ),18.6,122.36
Fanyan Mughal (MLT),13.28,108.56
Scott Austin (CYP),16.29,100.36
SC Getkate (IRE),11.95,111.78
S Hook (EST),17.18,96.83
R Mazumder (CYP),18.33,117.02
SS McKechnie (HKG),17.18,98.21
Ali Raza (Belg),17.18,141.75
TAM Siriwardana (SL),17.18,132.21
SJ Cotter (Samoa),18.26,103.39
Mazharul Islam (SEY),19.57,98.91
HB Dickson (COK),34.12,148.36
Sohaib Maqsood (PAK),13.65,116.66
FA Allen (WI),15.11,136.68
R Baaleri (GHA),19.42,78.16
AC Gilchrist (AUS),22.66,141.66
Amjad Javed (UAE),18.06,111.98
JTS Sumerauer (JER),12.31,127.23
J van Heerden (GER),45.16,120.44
CN Greaves (SCOT),19.28,106.29
M Spoors (CAN),38.42,119.55
GR Adair (IRE),26.8,148.88
MV Boucher (SA),17.86,97.45
A Randhawa (Aut),16.75,83.75
BS Stephenson (Blz),20.61,121.26
JS Malhotra (USA),19.07,118.14
OB Nightingale (GUE),24.27,113.13
P Useni (NGA),14.83,132.83
Akhil Anil (TAN),13.94,119.36
S Ghimire (PORT),37.85,121.55
D Visser (Samoa),53,194.85
P Sharma (KENYA),18.85,117.33
C Green (AUS),26.3,152.9
RD Rickelton (SA),20.23,134.87
Muhammad Younis (BHR),20.15,129.06
T Parima (COK),23.81,143.95
Devender Singh (GHA),23.72,118.09
D Pretorius (SA),21.75,164.15
SA Wijeyeratne (CAN),21.75,121.96
Zain Ul Abidin (KSA),16.31,121.96
ZM Tribe (JER),17.4,105.24
Khizar Hayat (MAS),16.25,101.56
S Vijay Unni (MAS),17.33,88.13
MG Bracewell (NZ),18.5,129.5
S Movva (CAN),23.54,106.14
T Taibu (ZIM),28.77,100.77
Adnan Ilyas (OMA),23.45,118.34
A Gbla (SLE),11.72,94.5
C Hartmann (IOM),16.12,107.94
Najeeb Tarakai (AFG),21.5,122.85
Khurram Nawaz (OMA),19.76,119.53
Mohamed Arief (MAS),19.76,124.75
Abhishek Sharma (IND),23.27,171.81
DM Gondaria (KENYA),25.6,126.73
Mahmud Jasat (PAN),13.47,71.5
I Udana (SL),18.28,137.63
KH Abe (JPN),15.93,128.14
Atif Rasheed (FIN),18.21,129.44
Imran Ameer (MLT),21.25,105.37
SE Marsh (AUS),18.21,102.82
Kashif Siddique (KSA),23.09,138.04
Ahmed Hassan (SUI),42.16,139.01
SF Mire (ZIM),31.62,129.08
Ritik Tomar (CZK-R),15.81,116.58
Shayan Jahangir (USA),28.11,140.55
R Abdulkareem (NGA),13.26,88.73
P Murungi (UGA),14,118.3
K Nestor (GIBR),11.4,92.96
R Escobar (Arg),22.72,86.5
K Hinds (Bhm),14.7,109.64
DP Michael (Samoa),31.25,114.15
DT Johnston (IRE),20.75,135.32
RV Uthappa (IND),24.9,118
GD Arta (INA),15.5,75.15
DK Anefie (GHA),10.69,108.37
Asif Ali (BHR),20.33,105.17
AJ Hosein (WI),15.25,107.96
CJ Delany (GIBR),24.3,108.48
AR Naidoo (CAY),24.3,86.47
Shafiq Sharif (MAS),20.25,127.89
MRJ Watt (SCOT),11.57,116.26
Muhammad Umar (KUW),24.2,128.04
Sulaiman Ali (BUL),13.44,115.78
GSNFG Jayasuriya (SL),15.06,108.55
UT Khawaja (AUS),26.77,132.41
JN Malan (SA),21.9,129.56
T Whiteman (LUX),34.42,117.56
SW Poynter (IRE),16,112.67
Ali Saleem (NOR),15.93,113.27
VE Tembo (MOZ),13.27,94.46
Abrar Bilal (Aut),21.63,114.42
Ashfaq Ahmed (UAE),19.83,128.64
WJ Cope (LUX),10.34,101.7
PF Gallagher (FIN),12.52,125.26
Hamid Mahmood (SWE),39.66,106.72
N Khanna (MLT),14,124.6
J Mubarak (SL),21.63,126.59
K Dasan (BUL),29.62,106.75
Khalid Latif (PAK),21.54,103.49
HJ Manenti (ITA),19.75,120.3
MB Kruger (NAM),15.73,98.74
RE Levi (SA),21.45,141.31
YK Pathan (IND),18.15,146.58
C Roberts (Fran),29.5,105.82
Harmeet Singh (USA),18.07,148.73
CN Onwuzulike (NGA),13.82,99.57
T Suri (UAE),21.36,107.79
G Manan (ROM),16.71,156
HV Mandhyan (HUN),11.7,92.85
V Ravindran (HUN),29.25,134.48
AT Carey (AUS),11.09,108.37
Karanbir Singh (Aut),33.28,140.36
Sajid Cheema (KSA),19.41,109.9
ES Szwarczynski (NED),21.18,95.88
VD Adewoye (NGA),11.04,117.76
P Aho (NGA),12.88,111.53
Usman Khan (PAK),15.46,122.75
V Zimonjic (SRB),15.46,108.41
WP Masakadza (ZIM),9.24,93.9
JF Mooney (IRE),16.5,107.94
Ali Nayyer (SUI),28.87,137.5
E Solomon (ISR),33,107.94
DC Stovell (BER),21,105
AR Cusack (IRE),15.26,129.37
Paing Danu (MYAN),12.72,82.37
Aftab Ahmed (BAN),22.8,128.08
F Akankwasa (UGA),14.25,118.75
Amar Sharma (MLT),14.25,91.56
T Mishra (KENYA),15.13,86.31
G Venkateswaran (LUX),15.13,98.69
C Bisson (JER),18.83,127.68
R Sakurano-Thomas (JPN),11.89,91.86
DJ Willey (ENG),15.06,130.63
DAS Gunaratne (SL),25,126.4
Inam-ul-Haq (QAT),25,109.75
ED Silva (KUW),25,202.7
MN van Wyk (SA),37.5,143.31
CAK Walton (WI),13.23,110.83
M Yunusu Issa (TAN),13.23,120.32
DS Bajwa (CAN),20.36,110.89
MA Jones (SCOT),22.4,136.58
A Kirschbaum (Arg),12.44,86.48
Rony Talukdar (BAN),22.4,135.75
G Thakur (MLT),22.4,121.08
A Halbhavi (LUX),13.93,107.72
PD Hennessy (ESP),22.3,113.19
KTK Rodrigo (MDV),18.58,91.02
A Osei (GHA),15.85,82.22
Waseem Yaqoob (LES),15.85,88.44
IKEG Artawan (INA),10.52,88.04
Choudry Share Ali (SWE),31.57,150.34
Idrees Ul Haque (SUI),24.55,126.28
Sazib Bhuiyan (CZK-R),15.78,134.75
Bilal Muhammad (MLT),14.66,142.85
ML Castillo (Blz),19.9,99.09
Jitin Singh (TAN),14.6,109.5
Khalid Ahmadi (Belg),18.25,162.22
A Parima (COK),24.33,125.14
AD Poynter (IRE),19.9,119.02
Tanwir Afzal (HKG),13.68,126.58
SSJ Brooks (WI),19.81,102.83
M Kasselman (BOT),16.76,114.13
D Gumyusenge (RWN),16.69,95.17
Ibrahim Hassan (MDV),8.03,75.87
TT Bresnan (ENG),16.61,127.05
DO Obuya (KENYA),27,94.73
MJG Rippon (NED/NZ),30.85,112.5
G Chaturvedi (MLT),12.64,106.43
KMDN Kulasekara (SL),10.23,116.84
EMDY Munaweera (SL),17.91,131.09
Noman Amjad (Fran),13.43,103.86
S Prasanna (SL),15.28,132.91
AK Sah (NEP),19.45,121.59
HER Tyler (PHI),11.26,113.82
RG Aga (KENYA),13.31,108.67
EF Beard (IOM),15.21,107.03
SP Gomes (PORT),42.6,123.12
Muslim Yar (GER),17.75,127.54
Thuya Aung (MYAN),12.52,53.65
Gurpratap Singh (CYP),19.27,142.28
Saad Khan (KSA),14.13,98.14
Ali Farasat (HUN),14.06,124.85
Anwar Arudin (MAS),10.04,101.93
JA Burns (ITA),70.33,144.52
Haris Sohail (PAK),19.09,102.94
CA Ingram (SA),26.25,129.62
Ghulam Shabber (UAE),18.9,114.28
Imal Zuwak (SWE),14.85,99.04
Abdul Shakoor (ROM),18.81,94.52
Imran Asif (Aut),23,135.29
Ijaz Hussain (ROM),12.17,95.39
BMAJ Mendis (SL),18.81,118.96
H Rathod (QAT),29.57,112.5
Haseeb Ghafoor (KSA),34.33,103
Mohammad Saifuddin (BAN),18.72,114.44
Nasrulla Rana (HKG),12.11,118.39
RM Siri (Arg),25.75,101.47
P Heron (CAY),22.77,100.98
DL Vettori (NZ),12.81,107.89
U Aryaman Sunil (SGP),11.27,125.3
S Ashwathnarayana (HUN),25.37,125.3
JM Kemp (SA),50.75,126.87
DS Smith (WI),33.83,126.08
R Gunasekera (CAN),25.25,107.44
A Otwani (UGA),12.62,102.02
Abdul Wahid (KSA),22.33,132.23
J Botha (SA),18.27,121.81
Ismail Ali (MDV),12.56,105.23
Kamran Ahmadzai (Fran),28.71,179.46
I Niyomugabo (RWN),25,113.63
S Pokhriyal (CZK-R),25,107.52
W Boshoff (SWE),11.7,81.89
R Gaznavi (SGP),9.95,80.24
M Beitaki (Fiji),14.14,110.61
SG Mangela (UGA),21.88,117.26
LF Muller (BRA),24.62,115.2
TK Musakanda (ZIM),16.41,120.12
A Yon (STHEL),21.88,115.88
Mukhtar Ghulami (Fran),16.33,102.61
Sohail Tanvir (PAK),11.52,119.51
F Achelam (UGA),10.83,97.98
LM Gabriel (LES),13,80.91
Pyae Phyo Wai (MYAN),10.83,65.43
Y Saranonnakkun (THA),8.12,83.33
Fawad Alam (PAK),17.63,114.79
K Mendon (CZK-R),32.33,106.01
NK Tiwari (CYP),14.92,88.99
OF Smith (WI),14.84,139.85
Taskin Ahmed (BAN),10.15,94.6
J Alegra (PHI),14.76,77.1
Asad Shafiq (PAK),19.2,103.78
Mukhtar Ahmed (PAK),32,143.28
Shakeel Ahmed (OMA),14.76,100.52
Manpreet Singh (ITA),17.36,90.95
C Forbes (SWA/SWZ),13.57,86.75
GK Ghalley (BHU),11.87,82.25
C Wright (CAY),17.27,111.76
Naeem Gull (SWA/SWZ),15.75,86.3
SR Patel (ENG),15.75,109.24
Rizwan Butt (BHR),10.5,127.7
Umar Nawaz (SWE),21,100.53
Wahidullah Sahak (NOR),17.18,111.83
IR Bell (ENG),26.85,115.33
IS Sodhi (NZ),7.23,102.17
Ammad Uddin (BHR),23.37,171.55
CJ Bowes (NZ),17,119.87
CD McMillan (NZ),31.16,159.82
J Miyagi (UGA),11.68,100.53
SP Patil (UAE),14.38,85.77
KMA Paul (WI),20.77,112.65
GR Russ (PHI),14.38,75.4
GG Banner (Blz),12.4,100.54
Luka Woods (SRB),23.25,116.98
AA Jasani (TAN),37,121.71
Mohammad Yasin (ESP),15.41,113.49
LA Musiani (Arg),13.21,90.24
R Ashwin (IND),26.28,115
LC Le Tissier (GUE),11.5,114.28
BJ Hodge (AUS),26.14,127.08
Aslam Mohammad (GRC),16.54,110.3
S Crowie (STHEL),26,79.82
L Hermida (Mex),14,70
Shaheen Shah Afridi (PAK),12.13,127.27
Delawar Khan (DEN),12.92,123.97
AUKDS Kalugala (CYP),18.1,114.55
F Nsubuga (UGA),10.64,104.62
OD Hald (DEN),12.85,115.38
Raja Shoaib (SKOR),25.71,86.53
CAJ Meschede (GER),44.75,155.65
Mudassar Muhammad (GER),17.9,94.7
SM Sharif (SCOT),13.76,111.18
N Acawei (Fiji),19.77,107.22
Anoop Orsu (LUX),13.69,117.1
S Desungnoen (THA),10.47,71.48
Nazimuddin (BAN),25.42,112.65
H Rashid (SWZ),13.69,88.11
PR Santhanakrishnan (Mex),11.12,82.4
Sidhant Singh (SGP),25.42,131.85
Waqar Ul Hassan (KSA),25.42,117.88
L Emilio (MOZ),12.57,93.12
Gurdeep Singh (KENYA),17.6,96.17
Kaleem Shah (MOZ),29.33,103.52
Mohammad Naveed (UAE),12.57,119.72
Nouman Sarwar (QAT),58.66,132.33
Tarun Sharma (Mex),22,101.73
Khalid Zahid (SWE),13.46,140
Faheem Nellancheri (FIN),15.9,141.12
Namgay Thinley (BHU),7.6,63.63
P Suanchuai (THA),12.5,64.1
TB Robinson (NZ),19.44,132.57
LPC Silva (SL),13.46,98.87
GM Ntambalika (MWI),12.42,102.95
WD Parnell (SA),17.4,96.66
JT Smuts (SA),13.38,105.45
A Sokovagone (Fiji),29,134.88
S Tosic (SRB),17.4,58.98
L Vincent (NZ),19.33,100
JG Bethell (ENG),57.66,167.96
Maidul Islam (EST),14.41,96.64
Muhammed Manga (GMB),17.3,80.09
F Suluoto (Samoa),21.62,120.97
CD Wallace (SCOT),17.3,107.45
JD Allan (VAN),11.46,88.65
A Kainessie (SLE),14.33,97.17
Milind Kumar (USA),24.57,96.08
IK Pathan (IND),24.57,119.44
GD Elliott (NZ/World),15.54,108.91
S Godara (CAM),28.5,148.69
N Nuntarach (THA),8.14,68.95
Yves Cyusa (RWN),17.1,118.75
MNR Cooray (MDV),34,114.86
S Hirugade (Mex),8.94,90.42
Zain Ahmad (Fran),11.33,107.59
Festus Benn (Bhm),15.36,78.24
Muhammad Amin (SWA/SWZ),14.08,112.66
M Vijay (IND),18.77,109.74
H Niaz (Fran),16.8,143.58
T van der Gugten (NED),16.8,135.48
Omid Mailk Khel (Belg),20.87,103.08
O Bascome (BER),11.85,100
M Jansen (SA),18.44,149.54
HJ Jordaan (THA),23.71,79.04
